id,question,answer,category
1,How do I check my current data balance?,"Dial *123# from your mobile or log in to the MyTelecom app and go to My Usage. Your remaining data balance will be shown on the dashboard.",data
2,Why is my mobile internet so slow?,"Slow speeds are usually caused by network congestion in your area, being in a low-signal zone, or reaching your high-speed data cap. Try toggling airplane mode off and on to force a network reconnect. If your high-speed data is exhausted your speed is throttled to 512 kbps.",data
3,How do I activate 4G/LTE on my phone?,"Go to Settings > Mobile Network > Preferred Network Type and select 4G/LTE. Make sure your SIM supports 4G and your plan includes it. If the option is missing, contact support to check your account.",connectivity
4,What should I do if I have no signal at home?,"First check our coverage map at telecom.example.com/coverage. If coverage is shown as good in your area try restarting your phone and reseating the SIM card. Persistent issues may require a network investigation - call 611.",connectivity
5,How do I report a network outage?,"You can report an outage by calling 611, using the MyTelecom app under Help > Report an Issue, or tweeting @TelecomSupport. We will send an SMS once the outage is resolved.",connectivity
6,My calls keep dropping. What should I do?,"Call drops are often caused by weak signal, SIM card faults, or a faulty device antenna. Try these steps: 1) Restart the phone 2) Reseat the SIM 3) Test with another SIM if possible 4) Check for network outages via the app.",voice
7,How do I enable Wi-Fi calling?,"Go to Settings > Phone > Wi-Fi Calling and toggle it on. Wi-Fi calling lets you make and receive calls over a Wi-Fi network when cellular signal is weak. Your plan must include this feature; if not, call 611 to add it.",voice
8,Why am I unable to make international calls?,"International calling must be enabled on your account. Log in to the portal, go to Add-ons > International Calling and activate it. Calls are billed at per-minute rates by country unless you have an international bundle.",roaming
9,How do I activate international roaming?,"Log in to MyTelecom > Plan & Services > International Roaming and toggle it on at least 24 hours before travel. Select a roaming bundle to avoid per-MB charges. Roaming is automatically disabled when you return home.",roaming
10,What are the roaming charges in the EU?,"Our EU Roaming Bundle costs $15/day and includes unlimited calls and texts within the EU plus 2 GB of data at local speeds. Without a bundle data is charged at $10/MB and calls at $1.50/minute.",roaming
11,How do I replace a lost or stolen SIM card?,"Report the loss by calling 611 immediately so we can block the SIM. Visit any store with a valid photo ID to get a replacement SIM. A fee of $5 applies. Your number and plan transfer to the new SIM automatically.",sim
12,How long does SIM activation take?,"A new SIM card typically activates within 15 minutes of inserting it. If it has not activated after 1 hour restart the phone. If still inactive call 611 and quote your SIM serial number printed on the SIM card.",sim
